localita,dt,type,value
Andria,2013-01-22,max,14
Andria,2013-01-23,min,5
Andria,2013-01-23,max,14
Andria,2013-01-24,min,6
Andria,2013-01-24,max,11
Andria,2013-01-25,min,4
Andria,2013-01-25,max,10
Andria,2013-01-26,min,4
Andria,2013-01-26,max,9
Andria,2013-01-27,min,3
Andria,2013-01-27,max,8
Andria,2013-01-28,min,1
Andria,2013-01-28,max,12
Andria,2013-01-29,min,6
Andria,2013-01-29,max,11
Andria,2013-01-30,min,4
Andria,2013-01-30,max,14
Andria,2013-01-31,min,3
Andria,2013-01-31,max,14
Andria,2013-02-01,min,6
Andria,2013-02-01,max,16
Andria,2013-02-02,min,8
Andria,2013-02-02,max,18
Andria,2013-02-03,min,7
Andria,2013-02-03,max,12
Andria,2013-02-04,min,3
Andria,2013-02-04,max,10
Andria,2013-02-05,min,3
Andria,2013-02-05,max,13
Andria,2013-02-06,min,6
Andria,2013-02-06,max,14
Andria,2013-02-07,min,3
Andria,2013-02-07,max,11
Andria,2013-02-08,min,3
Andria,2013-02-08,max,6
Andria,2013-02-09,min,2
Andria,2013-02-09,max,5
Andria,2013-02-10,min,1
Andria,2013-02-10,max,6
Andria,2013-02-11,min,0
Andria,2013-02-11,max,10
Andria,2013-02-12,min,7
Andria,2013-02-12,max,13
Andria,2013-02-13,min,5
Andria,2013-02-13,max,10
Andria,2013-02-14,min,4
Andria,2013-02-14,max,10
Andria,2013-02-15,min,5
Andria,2013-02-15,max,12
Andria,2013-02-16,min,5
Andria,2013-02-16,max,10
Andria,2013-02-17,min,5
Andria,2013-02-17,max,10
Andria,2013-02-18,min,3
Andria,2013-02-18,max,10
Andria,2013-02-19,min,3
Andria,2013-02-19,max,10
Andria,2013-02-20,min,3
Andria,2013-02-20,max,13
Andria,2013-02-21,min,6
Andria,2013-02-21,max,10
Andria,2013-02-22,min,5
Andria,2013-02-22,max,14
Andria,2013-02-23,min,7
Andria,2013-02-23,max,15
Andria,2013-02-24,min,8
Andria,2013-02-24,max,16
Andria,2013-02-25,min,5
Andria,2013-02-25,max,12
Andria,2013-02-26,min,4
Andria,2013-02-26,max,12
Andria,2013-02-27,min,4
Andria,2013-02-27,max,12
Andria,2013-02-28,min,5
Andria,2013-02-28,max,12
Andria,2013-03-01,min,4
Andria,2013-03-01,max,14
Andria,2013-03-02,min,8
Andria,2013-03-02,max,12
Andria,2013-03-03,min,5
Andria,2013-03-03,max,12
Andria,2013-03-04,min,2
Andria,2013-03-04,max,13
Andria,2013-03-05,min,3
Andria,2013-03-05,max,16
Andria,2013-03-06,min,10
Andria,2013-03-06,max,14
Andria,2013-03-07,min,11
Andria,2013-03-07,max,18
Andria,2013-03-08,min,11
Andria,2013-03-08,max,21
Andria,2013-03-09,min,11
Andria,2013-03-09,max,17
Andria,2013-03-10,min,11
Andria,2013-03-10,max,18
Andria,2013-03-11,min,11
Andria,2013-03-11,max,19
Andria,2013-03-12,min,10
Andria,2013-03-12,max,16
Andria,2013-03-13,min,10
Andria,2013-03-13,max,18
Andria,2013-03-14,min,10
Andria,2013-03-14,max,13
Andria,2013-03-15,min,4
Andria,2013-03-15,max,9
Andria,2013-03-16,min,3
Andria,2013-03-16,max,7
Andria,2013-03-17,min,0
Andria,2013-03-17,max,12
Andria,2013-03-18,min,9
Andria,2013-03-18,max,14
Andria,2013-03-19,min,9
Andria,2013-03-19,max,19
Andria,2013-03-20,min,7
Andria,2013-03-20,max,19
Andria,2013-03-21,min,8
Andria,2013-03-21,max,12
Andria,2013-03-22,min,5
Andria,2013-03-22,max,16
Andria,2013-03-23,min,6
Andria,2013-03-23,max,15
Andria,2013-03-24,min,9
Andria,2013-03-24,max,16
Andria,2013-03-25,min,8
Andria,2013-03-25,max,18
Andria,2013-03-26,min,7
Andria,2013-03-26,max,13
Andria,2013-03-27,min,9
Andria,2013-03-27,max,12
Andria,2013-03-28,min,9
Andria,2013-03-28,max,17
Andria,2013-03-29,min,11
Andria,2013-03-29,max,23
Andria,2013-03-30,min,12
Andria,2013-03-30,max,18
Andria,2013-03-31,min,12
Andria,2013-03-31,max,18
Andria,2013-04-01,min,11
Andria,2013-04-01,max,18
Andria,2013-04-02,min,12
Andria,2013-04-02,max,18
Andria,2013-04-03,min,10
Andria,2013-04-03,max,13
Andria,2013-04-04,min,8
Andria,2013-04-04,max,16
Andria,2013-04-05,min,12
Andria,2013-04-05,max,22
Andria,2013-04-06,min,10
Andria,2013-04-06,max,17
Andria,2013-04-07,min,10
Andria,2013-04-07,max,15
Andria,2013-04-08,min,9
Andria,2013-04-08,max,16
